Float_0,Integer_1,Float_2,Float_3,String_4,Integer_5,Integer_6,FILE_IMG_7
93.4505850907,57,19.3347896834,12.2436755299,eWlCbUQ,85,30,img/img11.png
57.4327103193,NaN,59.8652017511,84.0739825248,rtKcjkK,78,,img/img3.png
NaN,,83.5421615903,71.4543987618,CdapcSs,6,5,img/img5.png
67.0896203019,59,44.0636634753,9.47910012903,ZogPrhn,48,53,img/img8.png
63.1790697407,20,80.175206799,61.2759615821,lNpGsrY,36,55,img/img14.png
28.1047007254,,21.0071384961,,lObACRW,25,74,img/img4.png
54.8399311019,97,45.7103950997,20.5136214194,dgcmuRC,21,5,img/img13.png
66.8902372368,40,55.0624988368,93.716116056,UTPqaLC,74,70,img/img4.png
85.9286593627,28,94.5592859644,NaN,xzPeBOg,10,44,img/img11.png
73.9162514743,6,3.33883269938,95.6192588953,GLXuzGx,3,34,
91.7228335121,34,79.3095216942,NaN,cahWmgH,43,,img/img10.png
57.6683694169,54,78.8110893456,66.382799348,uTJNHXA,57,85,img/img6.png
69.0863407792,6,78.5142517868,4.51097960065,uvGtNeb,38,,img/img7.png
12.0118832879,15,1.50815290146,28.2155417977,snTkmhJ,45,,img/img6.png
26.5152748209,65,23.0947601903,37.0080172944,IUzpwHO,NaN,78,img/img10.png
56.9112963112,24,74.299785174,14.9933799324,GxnVKaN,95,46,img/img6.png
60.3353673759,NaN,45.1448981213,35.068763322,BDnCsNg,23,54,img/img9.png
2.60806042272,30,13.0648536726,61.7794261684,vihrRmc,56,76,img/img1.png
41.457281128,64,70.270232767,29.9728803465,,21,46,img/img16.png
16.7171414573,71,71.8476409093,,xrNRJzQ,12,56,img/img11.png
65.3788520032,6,,82.4755439604,XuTvHHf,NaN,98,img/img10.png
NaN,75,41.7992321543,,WlceCJl,99,21,img/img10.png
73.3403355927,,98.119802664,56.6499365806,flshGBw,50,38,
43.8163253018,75,21.4862135827,53.1940327169,RLhLCgR,28,73,img/img4.png
20.0031349851,87,8.82348276549,42.1481256372,iOOEpas,,96,img/img13.png
55.6625146101,49,72.7193859873,52.8428779444,YERECun,61,64,img/img9.png
20.0127248164,83,84.1598439874,27.917399434,mtPXlni,42,7,
,77,18.8888275071,9.58857601629,FeYJwIC,88,63,img/img4.png
5.67553777146,61,39.3146879825,77.5528254993,XvrHIiG,72,15,img/img14.png
86.9743142453,90,21.1572441815,22.0656068341,vitocnD,17,47,img/img15.png
89.3487496739,11,61.0318403269,10.3315254349,uAAJktw,4,15,img/img16.png
55.4309757643,14,85.8900972385,67.8828337392,heoBBcL,19,13,img/img10.png
62.9421728551,11,3.08549339075,63.5979169845,kEVcUBH,NaN,35,
0.814991184585,8,98.6910923784,64.1272600201,FJnbtQs,58,71,img/img10.png
35.5068573106,69,14.5404190533,3.94592551107,,52,64,img/img15.png
65.8198333171,NaN,16.0047054703,42.8580663041,HHjqRDT,46,55,img/img5.png
86.2077712316,55,NaN,19.318563832,Vmfkvol,84,59,img/img7.png
5.06871507741,34,61.7988722873,14.3280083454,lTuHyDI,39,56,img/img16.png
11.3352947982,38,63.3295382116,94.0208794601,RJvbsrU,89,27,img/img14.png
18.7070279229,34,82.5367912388,21.9564141895,ziVHRbM,64,27,img/img13.png
14.8198951999,80,19.3120230548,20.9484996822,vTZbxFt,73,23,img/img14.png
79.772853641,NaN,78.8723222749,,VWXtGtM,75,78,img/img13.png
26.251361944,22,57.219066087,35.6864787871,myxBDej,92,29,img/img16.png
42.5190659795,63,94.2769398022,24.9448343886,,53,23,img/img6.png
9.73484880551,56,81.1016459483,64.2361524614,APajXMX,19,32,img/img11.png
19.3709926271,30,NaN,23.6567044392,NrogWyw,34,16,
95.5697142229,,25.1663649886,61.5355782805,,68,52,
63.4253482611,62,95.3023216297,69.0074901247,lHFTUdq,58,NaN,img/img14.png
84.8094684328,87,64.2045765433,NaN,eHFEilC,69,26,img/img1.png
,33,44.8676005661,42.5891315094,jgeolEn,22,72,img/img15.png
51.3895301834,47,76.2363419612,42.908630697,nzndRGG,NaN,92,img/img6.png
NaN,94,38.527211581,41.1056454858,FVWmePL,44,68,img/img7.png
76.7401317699,79,20.5609657128,48.9629526034,OpfYXbB,4,51,img/img3.png
78.5828792986,62,2.68395799672,69.9320318105,bLKlQxo,44,75,img/img16.png
19.8532830204,86,44.8632877032,65.7958191153,GZFnJXL,47,46,
72.912230575,70,61.7841079129,86.5331768124,EiDqxVI,91,NaN,img/img15.png
92.6273802783,58,74.1476897302,19.780054079,QvzBfHr,88,36,img/img3.png
39.8811641342,5,,57.5737934959,FofQgRT,39,11,img/img9.png
4.67329926736,77,14.4833730174,88.2066556079,pErMZxW,15,NaN,img/img2.png
47.2479049971,8,45.5252821207,90.4218116342,UdzQgHZ,46,48,img/img16.png
82.7416685759,82,80.5201541838,97.963328425,QPUhXBi,,61,
81.5733719098,3,48.233018312,36.3605866391,aBmlgfp,12,79,img/img1.png
44.3774591932,1,84.210580484,18.7364170028,IOygfcz,34,97,img/img10.png
48.7782780114,66,23.4628981939,80.1760641155,sRquxYM,29,10,img/img3.png
97.1407641784,42,2.64438623445,5.11877736392,mOivQJZ,56,97,img/img5.png
87.5608056986,11,,68.3014440261,iUaPHAd,23,76,img/img3.png
,30,33.8882358112,44.1501958864,VcunCMv,82,3,img/img9.png
,,60.4948348094,NaN,dYhUAKG,NaN,63,img/img12.png
78.3989127729,13,81.0105836029,15.7874184331,dHBCSWn,6,52,img/img14.png
58.3526273724,72,78.1022776163,17.2438334578,JJBhBaN,62,9,img/img5.png
68.0872487913,77,14.4311187939,,,35,NaN,img/img5.png
NaN,50,,62.517436635,xjsVAkY,7,,img/img10.png
33.8332194696,66,69.7711484476,69.8356408399,jaNpeFM,50,51,img/img1.png
98.2422304803,92,39.5973168985,88.6671818827,BbZJUrR,NaN,17,img/img11.png
48.0715019937,90,47.9063820573,3.82083936036,lVQVYvU,22,2,img/img2.png
7.0285564629,69,26.8571690309,96.9720196834,FxDQTvd,59,,img/img14.png
6.21768258932,NaN,92.5671165348,20.0233523667,qUaqpHk,2,,img/img6.png
8.56969838359,12,65.7926757883,14.041821962,Nnckxdt,67,50,img/img8.png
65.46766505,54,65.5923088396,59.7343250966,FjpWWnI,7,,img/img7.png
54.8998044787,92,85.9028449341,77.3317783429,,9,80,img/img15.png
14.831398971,55,38.9259659729,13.6769532884,ToHiRCW,NaN,NaN,img/img16.png
75.5876100879,24,NaN,70.5888411198,kDCsEbp,94,34,img/img7.png
48.9221780501,38,49.9040705301,61.1836939752,xFTWmVt,7,42,img/img3.png
6.87895653168,98,38.8765485665,38.2671881769,ElfKBvf,85,89,img/img16.png
74.4680057123,87,33.4024388049,16.4881154032,,,60,img/img11.png
97.1773073547,33,98.6442516009,12.5995360266,NQYTmRg,45,8,img/img11.png
52.0869599325,100,12.1762486942,73.6915201444,wLJFLwj,,74,img/img3.png
93.8788326223,83,6.00911485191,81.9021104699,rjSNRYw,NaN,13,img/img11.png
55.1458241243,80,45.0718794604,49.3854295767,jjgtOZj,47,68,img/img12.png
77.4208985308,9,51.1495872869,41.4112388662,mqpNjWR,68,NaN,img/img12.png
19.2620896578,18,5.24667599115,2.95949377126,HBKMlWG,13,60,img/img3.png
8.18966896897,35,35.538746969,58.5718950164,zFjCBsj,4,45,img/img6.png
47.4354311539,NaN,69.1277819986,84.331323377,yIfRJUq,79,58,img/img15.png
6.46777146332,14,25.4943477701,59.386283974,TdlhIhB,21,85,img/img8.png
61.9000962496,37,24.0208573573,NaN,ihZotcy,,58,img/img12.png
40.0615094515,86,75.2191617545,82.656697371,PAxrHkv,26,34,img/img10.png
33.1916062182,83,2.69138551126,6.73095595849,ySWFuvV,47,23,img/img15.png
42.7250519131,NaN,23.6086466503,10.0361508463,OdGJdWk,11,50,img/img15.png
27.7843481742,8,63.5105235505,96.0829682726,,88,54,
39.3039224718,39,44.0695925659,68.9916145177,SVhSKeP,93,47,img/img10.png
69.3190639703,50,60.5505392964,NaN,MQsMRBp,71,NaN,img/img1.png
91.3328098329,86,56.8293426785,42.5062117805,urNgnku,45,,img/img14.png
31.3906519204,66,44.4597079663,64.8223276024,qGqWpRQ,60,57,img/img15.png
77.4483667174,98,51.95124008,76.9701505799,oZKKCVv,61,67,img/img15.png
7.4167923522,54,,36.8135868101,ChQQcfc,18,73,img/img15.png
,89,53.1763367051,54.3073472863,fUdhUmu,38,17,img/img12.png
35.8450754929,65,5.23551219695,69.5395714698,dMitfco,NaN,33,img/img16.png
65.2117607501,76,14.4896136051,,xjcLXxu,82,7,img/img4.png
98.1985607342,94,36.15785625,1.33131391548,KiuoUUh,62,95,img/img16.png
71.6515857419,67,68.4170990032,98.2372439243,xGHYNiZ,70,13,img/img16.png
87.2813984536,70,51.4286677821,58.6058425342,oOdiWnW,24,1,img/img12.png
66.6630431871,79,57.7156047437,10.0407062672,mqcRFFw,44,36,img/img2.png
55.1930539363,57,75.65283865,,ebzrrVp,6,62,img/img13.png
36.5394085204,,80.1630885497,3.67030253014,HWULWaJ,90,57,img/img7.png
NaN,98,19.7559805424,83.1657848391,VDpCVIU,,85,img/img2.png
17.5888750776,14,40.9319452301,54.7325063658,dqTrbko,7,NaN,img/img14.png
86.753423114,23,90.251128913,28.0984931075,VBhYzeS,24,68,
46.0044189238,46,31.7695737849,32.8997283023,XjpjeMy,50,92,img/img10.png
59.155713856,82,72.0575105887,93.7158621389,oPiBVhs,40,37,img/img13.png
82.8123538849,84,53.6176733255,16.5019164325,zeEdwck,98,73,img/img3.png
89.6430557873,52,70.3614688504,72.4805972595,XTtxYIE,,63,img/img6.png
59.1827660036,31,3.77456443226,NaN,TLjHHCy,80,99,
44.8062911722,3,85.9697305442,53.3361652069,qzaKuNi,33,61,img/img4.png
45.34427176,82,,79.8421536699,QAczIRW,24,30,img/img2.png
57.4407559871,55,49.0760659032,66.855623804,QBeIqEj,92,93,img/img10.png
11.7134612098,62,NaN,61.760760818,ydubqVB,93,7,img/img7.png
51.5014838305,11,98.564904113,,PYJaZJp,100,76,img/img13.png
14.5555460403,51,24.8725031404,35.377945833,gDRernW,23,68,img/img5.png
48.221666575,80,,17.9510684782,IVgBkTh,35,73,img/img5.png
87.8890996035,,14.3293462141,48.8164806485,,NaN,24,img/img5.png
,34,6.21678515484,44.6900866903,DLOmtjx,NaN,73,img/img16.png
21.9514259484,13,22.9680013844,17.675944528,DNuFTvH,68,71,img/img3.png
21.3288368728,48,98.8103660527,87.4948988528,rLuSJwU,42,22,img/img1.png
5.52539348979,73,1.62652563447,74.9518165151,VBDHNJR,15,53,img/img3.png
7.09882376435,16,7.82086121727,49.3883171888,wIwilUN,NaN,77,img/img6.png
77.8943696827,19,65.178510595,47.1300091773,aKQNqqi,,51,img/img15.png
35.1961352263,10,87.5886352797,34.6877905981,uezeAui,52,6,img/img10.png
88.3745536496,41,73.6163141086,96.0411323613,bpyhhAc,67,45,
28.6018980183,80,26.8572323907,,DGkDuYy,90,34,img/img15.png
81.6977905757,32,62.3133784709,78.0118500791,kfNoVuO,30,92,img/img3.png
31.2712308964,,21.4519307308,90.1781638602,xsGVpRo,2,41,img/img11.png
91.2138179286,74,55.7146100312,92.8972451884,aQgwnjP,97,,img/img10.png
72.6569692636,74,7.3578647257,72.5797051171,rNrfeDe,78,63,img/img1.png
53.2371129889,73,83.0650639649,72.6858717445,cHcplRT,83,21,img/img11.png
